日期,软件版本,开发任务,说明
1900年5月6日,ZTAM1.0,稳定的单线程控制系统，稳定的辅助动作铺粉，尤其实在轴的运动一块,
1900年5月7日,ZTAM1.0,控制系统上机调试，收集1000份铺粉时间的数据,
1900年5月8日,ZTAM1.1,控制系统引入多线程，使用modbusqueue来解决读取消息紊乱的问题，系统不能及时响应的问题,
1900年5月9日,ZTAM1.1,上机调试多线程控制系统并完善相关代码,
1900年5月10日,,,
1900年5月11日,,,
1900年5月12日,ZTAM2.0,学习imgui用户界面库，将控制系统整合进入Imgui,
1900年5月13日,ZTAM2.0,上机测试,
1900年5月14日,ZTAM2.0,了解激光系统，了解激光RTC5控制卡极其api的使用，,
1900年5月15日,ZTAM2.0,参考部分官方代码，完成程序示例的撰写,
1900年5月16日,ZTAM2.0,结合控制系统，实现出光扫描,
1900年5月17日,ZTAM2.0,写出加工的循环，并完成单道的打印,
1900年5月18日,,,
1900年5月19日,,,
1900年5月20日,ZTAM3.0,整理以前实验室代码，完成slc文件的读取,
1900年5月21日,ZTAM3.0,进行算法学习，学习熟悉clippper2的api,
1900年5月22日,ZTAM3.0,实现二维图像的旋转，进行活性边表的书写,
1900年5月23日,ZTAM3.0,实现二维图像的旋转，进行活性边表的书写,
1900年5月24日,ZTAM3.0,整理加工线程,
1900年5月25日,,,
1900年5月26日,,,
1900年5月27日,ZTAM3.0,尝试使用json,
1900年5月28日,ZTAM3.0,实现部分加工参数的UI显示极其调控,
1900年5月29日,ZTAM3.0,开始完成最短空行程算法的撰写,
1900年5月30日,ZTAM3.0,软件加工稳定性上机测试,
1900年5月31日,ZTAM3.0,实现标准测试件的打印,
