Layers,Powder_Hight,SCanPowder_hight_delta,Entity_hight_delta,Entity_hight,,,
1,0.03,0.03,0.015,0.015,,,
2,0.06,0.045,0.0225,0.0375,,,
3,0.09,0.0525,0.02625,0.06375,,,
4,0.12,0.05625,0.028125,0.091875,,振实密度,4.76g/cm^3
5,0.15,0.058125,0.0290625,0.120938,,铁的密度,7.85g/cm^3
6,0.18,0.0590625,0.0295313,0.150469,,,
7,0.21,0.0595312,0.0297656,0.180234,,,
8,0.24,0.0597656,0.0298828,0.210117,,,
9,0.27,0.0598828,0.0299414,0.240059,,,
10,0.3,0.0599414,0.0299707,0.270029,,,
11,0.33,0.0599707,0.0299854,0.300015,,,
12,0.36,0.0599853,0.0299927,0.330007,,,
13,0.39,0.0599926,0.0299963,0.360004,,,
14,0.42,0.0599963,0.0299982,0.390002,,,
15,0.45,0.0599982,0.0299991,0.420001,,,
16,0.48,0.0599991,0.0299995,0.45,,,
17,0.51,0.0599995,0.0299998,0.48,,,
18,0.54,0.0599998,0.0299999,0.51,,,
19,0.57,0.0599999,0.0299999,0.54,,,
20,0.6,0.0599999,0.03,0.57,,,
21,0.63,0.0599999,0.03,0.6,,,
22,0.66,0.06,0.03,0.63,,,
23,0.69,0.06,0.03,0.66,,,
24,0.72,0.0600001,0.03,0.69,,,
25,0.75,0.06,0.03,0.72,,,
26,0.78,0.0599999,0.03,0.75,,,
27,0.81,0.06,0.03,0.78,,,
28,0.84,0.06,0.03,0.81,,,
29,0.87,0.0600001,0.03,0.84,,,
30,0.9,0.06,0.03,0.87,,,
31,0.93,0.06,0.03,0.9,,,
32,0.96,0.06,0.03,0.93,,,
33,0.99,0.0600001,0.03,0.96,,,
34,1.02,0.06,0.03,0.99,,,
35,1.05,0.0599999,0.03,1.02,,,
36,1.08,0.0600001,0.03,1.05,,,
37,1.11,0.0600001,0.03,1.08,,,
38,1.14,0.0600001,0.03,1.11,,,
39,1.17,0.0600001,0.03,1.14,,,
40,1.2,0.0600002,0.0300001,1.17,,,
41,1.23,0.0600001,0.03,1.2,,,
42,1.26,0.0599999,0.03,1.23,,,
43,1.29,0.0599999,0.03,1.26,,,
44,1.32,0.0600001,0.03,1.29,,,
45,1.35,0.0600001,0.03,1.32,,,
46,1.38,0.0600001,0.03,1.35,,,
47,1.41,0.0600001,0.03,1.38,,,
48,1.44,0.0600002,0.0300001,1.41,,,
49,1.47,0.0600001,0.03,1.44,,,
50,1.5,0.0599999,0.03,1.47,,,
51,1.53,0.0599999,0.03,1.5,,,
52,1.56,0.0599999,0.03,1.53,,,
53,1.59,0.0600001,0.03,1.56,,,
54,1.62,0.0600001,0.03,1.59,,,
55,1.65,0.0600001,0.03,1.62,,,
56,1.68,0.0600001,0.03,1.65,,,
57,1.71,0.0600002,0.0300001,1.68,,,
58,1.74,0.0600001,0.03,1.71,,,
59,1.77,0.0599999,0.03,1.74,,,
60,1.8,0.0599999,0.03,1.77,,,
61,1.83,0.0600001,0.03,1.8,,,
62,1.86,0.0600001,0.03,1.83,,,
63,1.89,0.0600001,0.03,1.86,,,
64,1.92,0.0600001,0.03,1.89,,,
65,1.95,0.0600002,0.0300001,1.92,,,
