Layers,scan,Move
0,103,0
1,118,0
2,118,0
3,106,0
4,106,0
5,107,0
6,109,0
7,106,0
8,93,0
9,106,0
10,108,0
11,105,0
12,106,0
13,108,0
14,109,0
15,106,0
16,88,0
17,107,0
18,109,0
19,105,0
20,107,0
21,120,0
22,109,0
23,106,0
24,92,0
25,107,0
26,107,0
27,91,0
28,125,0
29,109,0
30,108,0
31,108,0
32,105,0
33,177,0
34,170,0
35,157,0
36,170,0
37,184,0
38,172,0
39,172,0
40,189,0
41,184,0
42,187,0
43,173,0
44,187,0
45,171,0
46,188,0
47,172,0
48,171,0
49,187,0
50,716,0
51,747,0
52,628,0
53,680,0
54,666,0
55,589,0
56,664,0
57,682,0
58,630,0
59,697,0
60,635,0
61,682,0
